Srno,Name,Latitude,Longitude,LongORG,LayerNO,SubLayer,8140DC,Pincolor,color,adjust,LatitudeNOW,LongitudeNOW,categoryNOW,PincolorNOW
1,قشمير من الهند,3,107,127,0,ما تنسب الى الاقاليم,,8140DC,purple,,33.2827778,75.3358333,المعين,06202B
2,جزيرة كرك من السند,7,87,107,0,ما تنسب الى الاقاليم,,8140DC,purple,,#N/A,#N/A,#N/A,#N/A
3,مدينة طيب من السند,5,52,72,0,ما تنسب الى الاقاليم,,8140DC,purple,,#N/A,#N/A,#N/A,#N/A
4,حضرموت من اليمن,2,67,87,0,ما تنسب الى الاقاليم,,8140DC,purple,,16.9304135,49.3653149,المعين,06202B
5,زغاوة من الحبشة,11,40,60,0,ما تنسب الى الاقاليم,,8140DC,purple,,18.6716667,23.3619444,التقريبي,E8EDF2
6,كوكو من الحبشة,11,18,38,0,ما تنسب الى الاقاليم,,8140DC,purple,,16.2702787,-0.0398168,التقريبي,E8EDF2
7,مدينة في اقصى الصين,13.15,145,165,1,الاقليم الاول,,34A99D,greenmedium,,#N/A,#N/A,#N/A,#N/A
8,مدينة في جزيرة الصين,16,132,152,1,الاقليم الاول,,34A99D,greenmedium,,#N/A,#N/A,#N/A,#N/A
9,اسقريا وهي في الصين,18,124,144,1,الاقليم الاول,,34A99D,greenmedium,,#N/A,#N/A,#N/A,#N/A
10,ماهونا من الهند,16,90,110,1,الاقليم الاول,,34A99D,greenmedium,,27.4947222,77.6733333,المعين,06202B
11,حابرلون من الهند,16.15,85,105,1,الاقليم الاول,,34A99D,greenmedium,,26.5125,93.5858333,التقريبي,E8EDF2
12,سلقى من السند,16,70,90,1,الاقليم الاول,,34A99D,greenmedium,,32.5288889,72.2227778,التقريبي,E8EDF2
13,عمان من بلاد العرب,19.45,64.3,84.3,1,الاقليم الاول,,34A99D,greenmedium,,21.4735329,55.975413,المعين,06202B
